377	1333	1
377	1526	1
377	1826	1
377	1944	1
377	2078	1
377	2101	1
377	2237	1
396	724	1
396	819	2
396	1020	1
396	1161	2
396	1179	1
396	1333	1
396	1548	1
396	2101	1
396	2335	1
419	676	2
419	968	2
419	1301	1
419	1395	2
419	1399	1
419	1969	2
419	2189	1
419	2201	1
424	1170	1
424	1179	2
424	1218	1
424	1391	1
424	1451	2
424	1526	1
424	2060	1
424	2080	1
424	2314	1
424	2335	1
424	2445	1
437	567	1
437	967	1
437	1119	1
437	1395	1
437	1548	1
437	2078	1
437	2135	1
525	539	1
525	819	1
525	1548	1
539	660	1
539	819	1
539	1179	1
539	1379	1
539	1389	1
539	1548	1
539	2468	1
567	676	1
567	905	1
567	967	1
567	1345	1
567	1399	1
567	1548	1
567	2078	1
567	2080	1
567	2135	2
660	676	1
660	842	1
660	1301	1
660	1379	1
660	1389	1
660	1806	1
660	2201	2
660	2445	1
660	2468	1
676	715	1
676	788	1
676	842	2
676	905	1
676	967	2
676	968	3
676	1020	2
676	1139	1
676	1179	1
676	1218	1
676	1333	1
676	1389	1
676	1395	5
676	1548	3
676	1647	2
676	1944	1
676	1969	4
676	2101	1
676	2178	1
676	2197	3
676	2237	2
676	2303	1
676	2318	1
676	2335	1
676	2397	1
676	2445	1
715	788	1
715	1218	1
715	1379	1
715	1590	1
715	2060	1
715	2101	1
724	788	1
724	1590	1
724	2237	1
724	2335	1
788	1139	1
788	1399	2
788	2101	1
819	1020	1
819	1161	3
819	1179	3
819	1333	1
819	1379	1
819	1399	1
819	1944	1
819	2101	1
842	1395	2
842	1399	2
842	2318	1
905	967	1
905	1119	1
905	1179	3
905	1345	1
905	1379	2
905	1389	1
905	1391	2
905	1395	2
905	1399	2
905	2060	1
905	2264	1
905	2318	1
905	2445	1
967	1129	1
967	1218	1
967	1379	1
967	1451	1
967	1526	1
967	1548	2
967	1605	1
967	2078	1
967	2135	1
968	1379	1
968	1395	3
968	1526	1
968	1944	1
968	1969	3
986	1218	1
986	2289	1
986	2341	3
1020	1179	3
1020	1218	1
1020	1333	1
1020	1379	2
1020	1395	3
1020	1399	1
1020	1548	1
1020	1605	1
1020	1816	1
1020	2303	1
1020	2397	1
1020	2505	1
1071	1179	2
1071	1944	1
1071	2397	1
1119	1129	1
1119	1379	1
1119	1526	1
1119	2135	1
1129	1170	1
1129	1179	2
1129	1218	1
1129	1379	3
1129	1526	2
1129	1806	1
1129	1969	1
1139	1333	1
1139	1645	1
1139	2080	2
1161	1170	1
1161	1179	6
1161	1301	1
1161	1333	2
1161	1451	1
1161	1526	1
1161	1548	1
1161	1806	1
1161	1944	1
1161	2101	1
1161	2178	1
1161	2189	3
1161	2201	1
1161	2264	2
1161	2289	2
1161	2314	1
1161	2445	2
1170	1944	1
1170	2060	1
1170	2314	3
1179	1218	2
1179	1283	1
1179	1333	6
1179	1345	1
1179	1379	2
1179	1391	1
1179	1395	3
1179	1399	2
1179	1526	1
1179	1548	6
1179	1590	1
1179	1605	2
1179	1645	1
1179	1826	5
1179	1944	2
1179	1969	1
1179	2101	2
1179	2189	2
1179	2289	3
1179	2397	3
1179	2445	1
1179	2468	1
1218	1379	1
1218	1526	1
1218	1590	1
1218	1944	1
1218	1969	1
1218	2264	1
1218	2397	2
1283	1333	2
1301	1379	1
1301	2178	1
1301	2201	1
1301	2264	1
1301	2289	1
1301	2445	3
1301	2468	1
1301	2505	1
1333	1399	1
1333	1548	1
1333	1605	1
1333	1645	1
1333	2080	1
1333	2101	1
1333	2189	1
1333	2303	1
1333	2397	2
1345	1399	1
1345	1548	1
1348	1379	1
1348	1391	1
1348	1395	2
1348	1399	1
1348	1969	1
1348	2060	1
